"","Group","Species","dry_mass_g","Temp_C","Mortality_yr","Ref"
"298","Mammal","Mirounga leonina",4e+05,38,0.127,128
"299","Mammal","Mirounga leonina",4e+05,38,0.127,128
"300","Mammal","Mirounga leonina",4e+05,38,0.11,128
"301","Mammal","Monodon monoceros",225000,38,0.063,128
"302","Mammal","Mus musculus",4.125,38,0.435,128
"303","Mammal","Mus musculus",5.375,38,0.435,128
"304","Mammal","Muscardinus avellanarius",7.5,38,0.667,128
"305","Mammal","Mustela lutreola",110,38,0.256,128
"306","Mammal","Mustela putorius",275,38,0.435,128
"307","Mammal","Mustela putorius",275,38,0.256,128
"308","Mammal","Neovison vison",236.2,38,0.256,128
"309","Mammal","Myocastor coypus",1734,38,0.435,128
"310","Mammal","Myopus schisticolor",6.25,38,3.333,128
"311","Mammal","Myosorex varius",2.85,38,3.333,128
"312","Mammal","Napaeozapus insignis",5.575,38,0.667,128
"313","Mammal","Nasua nasua",948.5,38,0.182,128
"314","Mammal","Nasua nasua",948.5,38,0.182,128
"315","Mammal","Neomys anomalus",4,38,1.429,128
"316","Mammal","Neomys fodiens",3.75,38,0.909,128
"317","Mammal","Neophocaena phocaenoides",7500,38,0.11,128
"318","Mammal","Neotoma floridana",61.19,38,0.909,128
"319","Mammal","Ningaui timealeyi",1.425,38,1.429,128
"320","Mammal","Nyctereutes procyonoides",1500,38,0.233,128
"321","Mammal","Ochotona collaris",32.25,38,0.435,128
"322","Mammal","Ovis dalli",18250,38,0.107,3
"323","Mammal","Ochotona princeps",39.41,38,0.435,128
"324","Mammal","Ochotona princeps",39.41,38,0.37,128
"325","Mammal","Odobenus rosmarus",3e+05,38,0.151,128
"326","Mammal","Odobenus rosmarus",3e+05,38,0.063,128
"327","Mammal","Odobenus rosmarus",3e+05,38,0.063,128
"328","Mammal","Odobenus rosmarus",3e+05,38,0.063,128
"329","Mammal","Odocoileus virginianus",13880,38,0.256,128
"330","Mammal","Odocoileus virginianus",13880,38,0.256,128
"331","Mammal","Ondatra zibethicus",245.4,38,0.909,128
"332","Mammal","Ondatra zibethicus",245.4,38,0.667,128
"333","Mammal","Orcinus orca",1375000,38,0.05,128
"334","Mammal","Orcinus orca",1375000,38,0.028,128
"335","Mammal","Orcinus orca",1375000,38,0.025,128
"336","Mammal","Oreamnos americanus",18130,38,0.182,128
"337","Mammal","Oreamnos americanus",18130,38,0.141,128
"338","Mammal","Oreamnos americanus",18130,38,0.141,128
"339","Mammal","Ornithorhynchus anatinus",371.1,38,0.149,128
"340","Mammal","Orycteropus afer",13090,38,0.11,128
"341","Mammal","Oryctolagus cuniculus",395,38,0.286,128
"342","Mammal","Oryctolagus cuniculus",395,38,0.256,128
"343","Mammal","Oryctolagus cuniculus",395,38,0.141,128
"344","Mammal","Oryctolagus cuniculus",537.5,38,0.286,128
"345","Mammal","Oryctolagus cuniculus",537.5,38,0.256,128
"346","Mammal","Oryctolagus cuniculus",537.5,38,0.141,128
"347","Mammal","Otaria byronia",61250,38,0.127,128
"348","Mammal","Ovibos moschatus",92130,38,0.105,128
"349","Mammal","Ovis ammon",35000,38,0.196,128
"350","Mammal","Ovis canadensis",18660,38,0.105,128
"351","Mammal","Ovis dalli",18250,38,0.049,3
"352","Mammal","Pusa hispida",16250,38,0.032,3
"353","Mammal","Paguma larvata",1100,38,0.141,128
"354","Mammal","Pan paniscus",8500,38,0.127,128
"355","Mammal","Pan troglodytes",9750,38,0.055,3
"356","Mammal","Pan troglodytes",11250,38,0.056,128
